-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.037,  0.148
-183.800, 80.197, 0.036,  0.181
-183.800, 80.196, 0.043,  0.214
-183.800, 80.192, 0.122,  0.247
-183.798, 80.185, 0.224,  0.280
-183.796, 80.174, 0.332,  0.313
-183.791, 80.159, 0.472,  0.346
-183.785, 80.139, 0.627,  0.379
-183.776, 80.114, 0.754,  0.412
-183.763, 80.083, 0.965,  0.445
-183.745, 80.047, 1.100,  0.478
-183.723, 80.008, 1.215,  0.511
-183.695, 79.967, 1.319,  0.544
-183.663, 79.923, 1.438,  0.577
-183.626, 79.876, 1.568,  0.610
-183.585, 79.826, 1.703,  0.643
-183.539, 79.773, 1.839,  0.676
-183.489, 79.718, 1.976,  0.709
-183.435, 79.659, 2.152,  0.742
-183.377, 79.595, 2.355,  0.775
-183.319, 79.525, 2.562,  0.808
-183.261, 79.450, 2.732,  0.841
-183.206, 79.371, 2.822,  0.874
-183.156, 79.290, 2.816,  0.907
-183.111, 79.211, 2.721,  0.940
-183.069, 79.139, 2.454,  0.973
-183.031, 79.077, 2.146,  1.006
-182.994, 79.025, 1.908,  1.039
-182.957, 78.978, 1.814,  1.072
-182.916, 78.930, 1.841,  1.105
-182.872, 78.882, 1.894,  1.138
-182.825, 78.831, 2.025,  1.171
-182.778, 78.774, 2.169,  1.204
-182.733, 78.711, 2.266,  1.237
-182.692, 78.645, 2.333,  1.270
-182.656, 78.575, 2.354,  1.303
-182.622, 78.505, 2.322,  1.336
-182.590, 78.435, 2.296,  1.369
-182.558, 78.366, 2.279,  1.402
-182.528, 78.297, 2.274,  1.435
-182.499, 78.227, 2.284,  1.468
-182.470, 78.155, 2.300,  1.501
-182.442, 78.084, 2.306,  1.534
-182.415, 78.011, 2.300,  1.567
-182.390, 77.939, 2.292,  1.600
-182.364, 77.867, 2.296,  1.633
-182.340, 77.794, 2.312,  1.666
-182.316, 77.720, 2.314,  1.699
-182.293, 77.646, 2.297,  1.732
